I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10023.68000000;10023.68000000;0.00000000;25;9;0.36;159.9600;23.6800;0.1480;0.947200
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10058.85000000;10058.85000000;0.00000000;23;9;0.39;144.6900;58.8500;0.4067;2.558696
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10018.22000000;10018.22000000;0.00000000;31;11;0.35;124.9000;18.2200;0.1459;0.587742
20200505;5;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10182.65000000;10182.65000000;0.00000000;28;13;0.46;82.1500;182.6500;2.2234;6.523214
20200505;4;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10005.81000000;10005.81000000;0.00000000;37;13;0.35;94.9800;5.8100;0.0612;0.157027
20200505;5;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10024.09000000;10024.09000000;0.00000000;39;14;0.36;140.1100;24.0900;0.1719;0.617692
20200505;4;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9998.70144000;9998.70144000;0.00000000;46;16;0.35;112.1786;-1.2986;-0.0116;-0.028230
20200505;5;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10168.47000000;10168.47000000;0.00000000;52;21;0.40;216.0500;168.4700;0.7798;3.239808
20200505;4;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10024.66144000;10024.66144000;0.00000000;56;20;0.36;122.8986;24.6614;0.2007;0.440383
20200505;5;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9962.84358000;9962.84358000;0.00000000;65;22;0.34;255.8464;-37.1564;-0.1452;-0.571637
20200505;4;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10003.99144000;10003.99144000;0.00000000;71;25;0.35;203.2786;3.9914;0.0196;0.056217
20200505;5;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10033.72358000;10033.72358000;0.00000000;81;29;0.36;224.9900;33.7236;0.1499;0.416340
20200505;4;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9736.37706000;9736.37706000;0.00000000;87;26;0.30;273.2129;-263.6229;-0.9649;-3.030149
20200505;5;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10025.19000000;10025.19000000;0.00000000;101;36;0.36;248.8300;25.1900;0.1012;0.249406
20200505;4;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9815.20124000;9815.20124000;0.00000000;108;36;0.33;251.0644;-184.7988;-0.7361;-1.711100
20200505;5;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10055.47930000;10055.47930000;0.00000000;122;44;0.36;342.4900;55.4793;0.1620;0.454748
20200505;4;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9952.18208000;9952.18208000;0.00000000;117;41;0.35;276.7000;-47.8179;-0.1728;-0.408700
20200505;5;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10136.05520000;10136.05520000;0.00000000;142;53;0.37;301.5000;136.0552;0.4513;0.958135
20200505;4;20.0000;ATRMultiplier;0;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9578.05831000;9578.05831000;0.00000000;109;31;0.28;469.0800;-421.9417;-0.8995;-3.871025
20200505;5;20.0000;ATRMultiplier;0;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9574.71146000;9574.71146000;0.00000000;128;38;0.30;509.7600;-425.2885;-0.8343;-3.322567
20200505;4;20.0000;ATRMultiplier;10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9361.66831000;9361.66831000;0.00000000;84;18;0.21;674.0817;-638.3317;-0.9470;-7.599187
20200505;5;20.0000;ATRMultiplier;10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9571.06146000;9571.06146000;0.00000000;100;28;0.28;514.1385;-428.9385;-0.8343;-4.289385
20200505;4;20.0000;ATRMultiplier;20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9266.43578000;9266.43578000;0.00000000;66;10;0.15;733.5642;-733.5642;-1.0000;-11.114609
20200505;5;20.0000;ATRMultiplier;20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9647.96216000;9647.96216000;0.00000000;83;23;0.28;377.2078;-352.0378;-0.9333;-4.241420
20200505;4;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9958.28950000;9958.28950000;0.00000000;24;8;0.33;152.1762;-41.7105;-0.2741;-1.737938
20200505;5;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10053.34318000;10053.34318000;0.00000000;22;9;0.41;117.9300;53.3432;0.4523;2.424690
20200505;4;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9891.11736000;9891.11736000;0.00000000;30;9;0.30;178.2762;-108.8826;-0.6108;-3.629421
20200505;5;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10059.27318000;10059.27318000;0.00000000;27;11;0.41;103.8700;59.2732;0.5706;2.195303
20200505;4;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9974.07736000;9974.07736000;0.00000000;36;13;0.36;93.5900;-25.9226;-0.2770;-0.720073
20200505;5;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9948.75344000;9948.75344000;0.00000000;38;13;0.34;223.4266;-51.2466;-0.2294;-1.348594
