I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10173.36945000;10173.36945000;0.00000000;114;47;0.41;147.7243;173.3695;1.1736;1.520785
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9929.96620000;9929.96620000;0.00000000;143;54;0.38;329.2097;-70.0338;-0.2127;-0.489747
20200505;4;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9969.69686000;9969.69686000;0.00000000;142;56;0.39;244.5278;-30.3031;-0.1239;-0.213402
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9807.19119000;9807.19119000;0.00000000;176;64;0.36;473.6639;-192.8088;-0.4071;-1.095505
20200505;4;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9651.40169000;9651.40169000;0.00000000;153;52;0.34;444.1352;-348.5983;-0.7849;-2.278420
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9521.18102000;9521.18102000;0.00000000;191;62;0.32;574.7991;-478.8190;-0.8330;-2.506906
20200505;4;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9265.59532000;9265.59532000;0.00000000;161;47;0.29;798.8859;-734.4047;-0.9193;-4.561520
20200505;5;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9357.39842000;9357.39842000;0.00000000;195;62;0.32;739.3636;-642.6016;-0.8691;-3.295393
20200505;4;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9451.90824000;9451.90824000;0.00000000;136;41;0.30;622.3330;-548.0918;-0.8807;-4.030086
20200505;5;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9512.85263000;9512.85263000;0.00000000;176;58;0.33;510.0403;-487.1474;-0.9551;-2.767883
20200505;4;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9565.09922000;9565.09922000;0.00000000;107;32;0.30;479.4262;-434.9008;-0.9071;-4.064493
20200505;5;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9583.08184000;9583.08184000;0.00000000;137;44;0.32;441.4138;-416.9182;-0.9445;-3.043198
20200505;4;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9588.69442000;9588.69442000;0.00000000;73;19;0.26;476.7435;-411.3056;-0.8627;-5.634323
