I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;5;20.0000;ATRMultiplier;-40;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9719.59672000;9719.59672000;5.40253000;160;63;0.39;398.1084;-280.4033;-0.7043;-1.752520
20200505;4;20.0000;ATRMultiplier;-30;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10031.94657000;10031.94657000;0.00000000;164;72;0.44;351.1540;31.9466;0.0910;0.194796
20200505;5;20.0000;ATRMultiplier;-30;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9751.49382000;9751.49382000;5.78253000;190;72;0.38;360.8930;-248.5062;-0.6886;-1.307927
20200505;4;20.0000;ATRMultiplier;-20;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9883.70061000;9883.70061000;0.00000000;195;83;0.43;317.0061;-116.2994;-0.3669;-0.596407
20200505;5;20.0000;ATRMultiplier;-20;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9715.23602000;9715.23602000;6.16253000;229;87;0.38;480.0432;-284.7640;-0.5932;-1.243511
20200505;4;20.0000;ATRMultiplier;-10;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9915.25401000;9915.25401000;0.00000000;204;87;0.43;407.8999;-84.7460;-0.2078;-0.415422
20200505;5;20.0000;ATRMultiplier;-10;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9781.01030000;9781.01030000;6.54253000;248;96;0.39;494.5598;-218.9897;-0.4428;-0.883023
20200505;4;20.0000;ATRMultiplier;0;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9621.18689000;9621.18689000;0.00000000;200;81;0.41;634.4944;-378.8131;-0.5970;-1.894066
20200505;5;20.0000;ATRMultiplier;0;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9626.93784000;9626.93784000;6.92253000;237;93;0.39;552.7233;-373.0622;-0.6750;-1.574102
20200505;4;20.0000;ATRMultiplier;10;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9615.88243000;9615.88243000;0.00000000;167;62;0.37;466.3592;-384.1176;-0.8237;-2.300105
20200505;5;20.0000;ATRMultiplier;10;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9605.33656000;9605.33656000;7.30253000;210;82;0.39;462.8753;-394.6634;-0.8526;-1.879350
20200505;4;20.0000;ATRMultiplier;20;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9686.18024000;9686.18024000;0.00000000;139;54;0.39;456.0297;-313.8198;-0.6882;-2.257696
20200505;5;20.0000;ATRMultiplier;20;3.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9528.68455000;9528.68455000;0.00000000;169;63;0.37;526.0028;-471.3154;-0.8960;-2.788849
20200505;4;20.0000;ATRMultiplier;-90;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9864.87051000;9864.87051000;0.00000000;57;23;0.40;271.4928;-135.1295;-0.4977;-2.370693
20200505;5;20.0000;ATRMultiplier;-90;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9927.78616000;9927.78616000;0.00000000;66;28;0.42;153.6757;-72.2138;-0.4699;-1.094149
20200505;4;20.0000;ATRMultiplier;-80;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9831.90162000;9831.90162000;0.00000000;66;27;0.41;277.7471;-168.0984;-0.6052;-2.546945
20200505;5;20.0000;ATRMultiplier;-80;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9880.97994000;9880.97994000;0.00000000;75;33;0.44;170.3054;-119.0201;-0.6989;-1.586934
20200505;4;20.0000;ATRMultiplier;-70;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9778.11751000;9778.11751000;0.00000000;77;32;0.42;364.4010;-221.8825;-0.6089;-2.881591
20200505;5;20.0000;ATRMultiplier;-70;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9708.69728000;9708.69728000;0.00000000;94;38;0.40;320.7047;-291.3027;-0.9083;-3.098965
20200505;4;20.0000;ATRMultiplier;-60;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9862.75306000;9862.75306000;0.00000000;96;42;0.44;436.1025;-137.2469;-0.3147;-1.429656
20200505;5;20.0000;ATRMultiplier;-60;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9753.98816000;9753.98816000;0.00000000;111;45;0.41;293.3795;-246.0118;-0.8385;-2.216323
20200505;4;20.0000;ATRMultiplier;-50;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9901.60482000;9901.60482000;0.00000000;111;50;0.45;379.4149;-98.3952;-0.2593;-0.886443
20200505;5;20.0000;ATRMultiplier;-50;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9735.00122000;9735.00122000;5.03253000;128;52;0.41;298.0242;-264.9988;-0.8892;-2.070303
20200505;4;20.0000;ATRMultiplier;-40;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9800.57883000;9800.57883000;0.00000000;136;58;0.43;584.4477;-199.4212;-0.3412;-1.466332
20200505;5;20.0000;ATRMultiplier;-40;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9577.63419000;9577.63419000;5.40253000;156;60;0.38;498.4778;-422.3658;-0.8473;-2.707473
20200505;4;20.0000;ATRMultiplier;-30;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9786.66208000;9786.66208000;0.00000000;161;65;0.40;518.4676;-213.3379;-0.4115;-1.325080
20200505;5;20.0000;ATRMultiplier;-30;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9463.41364000;9463.41364000;5.78253000;183;66;0.36;576.4867;-536.5864;-0.9308;-2.932166
20200505;4;20.0000;ATRMultiplier;-20;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9704.27434000;9704.27434000;0.00000000;188;77;0.41;510.2249;-295.7257;-0.5796;-1.573009
20200505;5;20.0000;ATRMultiplier;-20;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9455.33067000;9455.33067000;6.16253000;216;77;0.36;581.1746;-544.6693;-0.9372;-2.521617
20200505;4;20.0000;ATRMultiplier;-10;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9804.37454000;9804.37454000;0.00000000;192;82;0.43;501.1103;-195.6255;-0.3904;-1.018883
20200505;5;20.0000;ATRMultiplier;-10;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9643.67026000;9643.67026000;6.54253000;236;90;0.38;421.2732;-356.3297;-0.8458;-1.509872
20200505;4;20.0000;ATRMultiplier;0;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9747.29803000;9747.29803000;0.00000000;189;82;0.43;585.7821;-252.7020;-0.4314;-1.337047
20200505;5;20.0000;ATRMultiplier;0;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9475.86787000;9475.86787000;6.92253000;233;89;0.38;640.2557;-524.1321;-0.8186;-2.249494
20200505;4;20.0000;ATRMultiplier;10;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9673.43633000;9673.43633000;0.00000000;161;64;0.40;473.1573;-326.5637;-0.6902;-2.028346
20200505;5;20.0000;ATRMultiplier;10;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9518.48215000;9518.48215000;7.30253000;204;78;0.38;551.9357;-481.5179;-0.8724;-2.360382
20200505;4;20.0000;ATRMultiplier;20;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9665.07740000;9665.07740000;0.00000000;137;54;0.39;468.5522;-334.9226;-0.7148;-2.444691
20200505;5;20.0000;ATRMultiplier;20;4.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9517.34964000;9517.34964000;0.00000000;163;62;0.38;554.0180;-482.6504;-0.8712;-2.961045
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;10411.44000000;10411.44000000;0.00000000;60;24;0.40;199.7400;411.4400;2.0599;6.857333
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;10654.56562000;10654.56562000;0.00000000;71;31;0.44;157.1700;654.5656;4.1647;9.219234
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;10571.12000000;10571.12000000;0.00000000;72;30;0.42;85.4400;571.1200;6.6845;7.932222
